account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_category_code,transaction_number
38829,01192021 11:56:43,16.5,1212021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       OH,5812,17
43991,12302020 14:27:05,15.75,1012021,90282822,KROGER #2 4000 POLK    BRIGHTON        MI,5411,17
25643,01082021 19:46:47,10.54,1112021,57544987209,SHELL OIL 57544987209  PEARLAND      IL,5541,17
32628,01122021 08:13:48,6.77,1132021,4.45E+12,TST* THE PIT ROOM      HOUSTON       CA,5812,17
18054,02062021 16:22:18,160.79,2082021,5.96E+14,DESI BROTHERS- SUGERLA SUGAR LAND    SD,5411,17
28226,01262021 11:29:04,18.09,1272021,1VKWOGBF44BU45L,DOORDASH*MCDONALDS     SAN FRANCISCO PA,5812,17
37226,01182021 16:10:44,3.84,1202021,7.20E+11,CIRCLE K 03744 630 E M PHOENIX        NY,5541,17
19485,02122021 08:26:34,33.75,2132021,687046,SHELL SERVICE STATION  HOUSTON      CAUS,5542,17
33945,04012021 11:33:01,3.99,4032021,8.49E+11,GRAND & ESSEX MARKET   BERGENFIELD   OH,5411,17
14829,03102021 19:22:27,74.6,3122021,4.00E+13,ISLE OF CAPRI          NEW YORK      TX,5812,17
31452,02182021 10:39:14,14.96,2192021,8.39E+14,CHEVRON 0374409        PEARLAND      TN,5542,17
26607,01252021 10:01:51,4.75,1262021,8.00E+14,PEET'S #04403          NEWPORT BEACH MI,5814,17
36717,02192021 15:58:39,6.26,2222021,10764655,WRAP AND ROLL          PEARLAND      IL,5812,17
33717,02172021 10:43:44,6.25,2182021,2.43E+14,SQ *NICKEL & BEAN COFF Mansfield     CA,5814,17
30881,03132021 07:27:00,15.8,3152021,8032227996,RTACO 0536             DALLAS        NJ,5813,17
15482,02272021 11:38:34,14.32,3012021,5.39E+13,SQ *SUMMER MOON COFFEE Austin        KS,5499,17
20759,02032021 11:35:13,24.97,2042021,5186484,S&D OYSTER COMPANY     DALLAS        NM,5812,17
26603,03102021 12:46:55,8.37,3122021,3.08E+14,TACO BELL 30780        SUNNYVALE     NY,5814,17
24029,04072021 07:23:46,11.14,4082021,76596,CIRCLE K #2741583      MCKINNEY     CAUS,5541,17
31593,04052021 05:10:37,5.83,4062021,4.45E+12,WENDY'S 79             HOUSTON       KS,5814,17
25770,03232021 07:24:19,6.47,3242021,5.43E+14,DEL TACO #851          PHOENIX       NJ,5814,17
30808,04012021 17:04:44,12.32,4032021,3.09E+14,TACO BELL #1693        SANTA FE      RI,5814,17
27486,04092021 08:33:36,29.85,4102021,1.47E+14,PANERA BREAD #202566 O 770-484-6210  OR,5814,17
26995,04092021 08:35:04,2.13,4102021,407527,SHELL SERVICE STATION  WEST POINT   NYUS,5541,17
16068,04092021 08:31:52,17.18,4102021,2.43E+14,SQ *SMOKEY BEACH STOCK Jacksonville  NY,5999,17
28064,04072021 19:02:28,2.45,4082021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,17
31094,01122021 10:38:28,14.53,1132021,4.45E+12,TST* LOCAL FOODS - KIR HOUSTON       NJ,5812,18
53111,01202021 12:35:45,14,1212021,4.45E+12,CKE*EL CHARRO MEXICA 3 Hamilton       OH,5812,18
18393,03272021 13:21:32,3.76,3292021,241409,WAL-MART #1409         HOUSTON        AK,5310,18
37466,01152021 12:44:34,4.29,1162021,5.39E+13,SQ *FELLINI CAFE HOUST Houston       OH,5499,18
11111,01202021 12:35:45,14,1212021,4.45E+12,CKE*EL CHARRO MEXICA 3 HOUSTON       TX,5812,18
38829,01192021 17:39:24,6.93,1202021,9.44E+14,PANDA EXPRESS 1527     HOUSTON       OH,5814,18
43991,01202021 12:35:45,14,1212021,4.45E+12,CKE*EL CHARRO MEXICA 3 Brighton       MI,5812,18
25643,01082021 20:06:17,9.5,1092021,07534T51,WALGREENS STORE 6122 BRPEARLAND     ILUS,5912,18
32628,01132021 11:06:06,34.53,1142021,4.45E+12,TST* THE PIT ROOM      HOUSTON       CA,5812,18
18054,02082021 11:08:24,15.35,2092021,2.26E+11,THE HALAL GUYS SHEPHER 7136815465    SD,5812,18
28226,01262021 12:02:28,10.27,1282021,4.45E+12,LUIGIS PIZZERIA - TX   HOUSTON       PA,5812,18
37226,01192021 12:10:51,32.69,1212021,5.23E+14,HARVEY.S WINEBURGER    PHOENIX       NY,5812,18
19485,02252021 08:28:31,157.24,2272021,3.35E+11,HEB CENTRAL MARKET     800-987-4438  CA,5411,18
33945,04042021 17:52:26,10.43,4052021,1.88E+14,SQ *BEN & JERRY'S ENGL Englewood     OH,5814,18
14829,03112021 16:59:51,10.44,3122021,2.43E+14,SQ *VAN LEEUWEN ICE CR New York      TX,5814,18
31452,02192021 17:20:58,95.57,2202021,4.45E+12,TARGET        00014597 PEARLAND      TN,5411,18
26607,01252021 14:08:29,19.66,1272021,7.38E+11,FLOWER CHILD NEWPORT B NEWPORT BEACH MI,5812,18
36717,02192021 18:02:26,25.27,2202021,5.43E+14,BURGER TEX             PEARLAND      IL,5812,18
33717,02172021 15:52:27,58.15,2182021,4.45E+12,ABC KITCHEN            LEXINGTON     CA,5812,18
30881,03132021 10:29:49,5.25,3152021,8.79E+12,WAVE WASH - DALLAS 1   DALLAS        NJ,7542,18
15482,02272021 15:05:31,2.94,3012021,67107015265,THE HOME DEPOT #6570   SUNSET VALLEY KS,5200,18
20759,02032021 17:34:22,28.66,2042021,469222,CENTRAL MARKET #747    DALLAS       NMUS,5411,18
26603,03112021 13:24:58,10.34,3122021,6.37E+14,MCDONALD'S F4324       SUNNYVALE     NY,5814,18
24029,04072021 11:34:30,30.11,4082021,5.43E+14,FIRST WATCH - 450      PROSPER       CA,5812,18
31593,04052021 09:13:07,6.81,4062021,4.45E+12,WENDY'S 79             HOUSTON       KS,5814,18
25770,03232021 12:05:12,37.27,3242021,48201746996,WAL-MART #1746         TEMPE         NJ,5411,18
30808,04012021 17:26:43,44.53,4022021,978308,SPROUTS FARMERS MKT#705SANTA FE     RIUS,5411,18
26995,04092021 21:18:35,45,4102021,5.27E+14,FBPAY AmericanCancer   fb.com/cc     NY,8398,18
16068,04092021 18:23:58,37.99,4102021,3.72E+11,COOPERS HAWK WINE C D  7082155674    NY,5812,18
28064,04082021 10:44:49,1.45,4092021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,18
31094,01122021 11:30:04,4.25,1132021,5.39E+13,SQ *FELLINI CAFE HOUST Houston       NJ,5499,19
53111,02072021 16:36:37,3.45,2082021,4.45E+12,CVS/PHARMACY #06241    Hamilton       OH,5912,19
18393,04022021 16:32:56,4.08,4042021,24563312,DOLLARTRE 1801 S DAIRY HOUSTON        AK,5331,19
37466,01162021 12:52:49,11.9,1182021,7.85E+14,Amazon.com*D71HH7P13   Amzn.com/bill OH,5942,19
11111,02072021 16:36:37,3.45,2082021,4.45E+12,CVS/PHARMACY #06241    HOUSTON       TX,5912,19
38829,01202021 06:15:51,11.82,1212021,4.45E+12,TST* THE PIT ROOM      HOUSTON       OH,5812,19
43991,02072021 16:36:37,3.45,2082021,4.45E+12,CVS/PHARMACY #06241    Brighton       MI,5912,19
25643,01122021 15:32:40,6.14,1132021,5.39E+13,SQ *BLACK HOLE COFFEE  Chicago       IL,5814,19
32628,01142021 11:02:00,9.09,1152021,3.45E+11,CHIPOTLE ONLINE        1800244768    CA,5814,19
18054,02092021 12:33:56,13,2102021,2.95E+13,BIRYANI POT            HOUSTON       SD,5812,19
28226,01272021 12:48:28,16.24,1282021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       PA,5814,19
37226,01192021 16:44:36,17.02,1202021,522816,SHELL SERVICE STATION  PHOENIX      NYUS,5541,19
19485,03102021 10:08:00,90.4,3112021,3.35E+11,HEB CENTRAL MARKET     800-987-4438  CA,5411,19
33945,04082021 08:00:44,9.95,4092021,1.60E+14,STOP & SHOP 0851       TEANECK       OH,5411,19
14829,03112021 17:11:25,20.58,3132021,2.66E+11,JUICE GENERATION 5     NEW YORK      TX,5814,19
31452,02202021 13:50:24,10,2222021,11687491,GIRL SCOUTS OF SAN JAC 7132920300    TN,8641,19
26607,01252021 18:41:28,30.83,1262021,4.45E+12,WHOLEFDS NPT #10468    NEWPORT BEACH MI,5411,19
36717,02202021 07:23:27,39.82,2222021,5.43E+14,FIRST WATCH - 548      PEARLAND      IL,5812,19
33717,02172021 16:24:29,15.18,2192021,155336958,KROGER #8 1500 LEXINGT MANSFIELD      CA,5411,19
30881,04012021 14:42:28,36.79,4032021,5.18E+14,COOLS LIQUOR           DALLAS        NJ,5921,19
15482,03032021 20:01:37,18.88,3052021,67107015265,THE HOME DEPOT #6570   SUNSET VALLEY KS,5200,19
20759,02042021 06:45:12,7.5,2052021,459716,TOM THUMB #2990        DALLAS       NMUS,5411,19
26603,03112021 20:10:32,8.47,3132021,7.20E+14,JACK IN THE BOX 3467   SANTA CLARA   NY,5814,19
24029,04072021 12:08:34,12.08,4082021,1.75E+11,LOWE'S # 3104          PROSPER      CAUS,5200,19
31593,04052021 17:03:08,41.9,4072021,4.45E+12,242 PUB & GRILL - CONR CONROE        KS,5812,19
25770,03232021 12:27:54,29.05,3242021,3.73E+11,NOODLES & CO 596       PHOENIX       NJ,5812,19
30808,04012021 17:28:30,3.47,4022021,978308,SPROUTS FARMERS MKT#705SANTA FE     RIUS,5411,19
28064,04082021 14:32:19,40,4092021,4.45E+11,CASH APP*              4153753176    NJ,4829,19
31094,01122021 19:03:34,30.17,1132021,4.45E+12,TST* THE HAY MERCHANT  HOUSTON       NJ,5812,20
53111,01312021 12:24:32,20,2012021,2.43E+14,SQ *DIMASSI S KIRBY    Hamilton       OH,5812,20
18393,04082021 12:53:36,15.7,4092021,3.45E+11,CHIPOTLE 2162          HOUSTON       AK,5814,20
11111,01312021 12:24:32,20,2012021,2.43E+14,SQ *DIMASSI S KIRBY    Houston       TX,5812,20
37466,01162021 15:00:07,9.19,1182021,4.45E+12,CVS/PHARMACY #00784    HOUSTON       OH,5912,20
38829,01202021 12:35:45,14,1212021,4.45E+12,CKE*EL CHARRO MEXICA 3 HOUSTON       OH,5812,20
43991,01312021 12:24:32,20,2012021,2.43E+14,SQ *DIMASSI S KIRBY    Brighton       MI,5812,20
25643,01122021 20:52:40,13.82,1142021,5.98E+12,CHICK-FIL-A #01284     PEARLAND      IL,5814,20
32628,01142021 12:05:42,12.4,1162021,4.45E+12,TST* BURGER JOINT MONT HOUSTON       CA,5812,20
18054,02282021 15:02:13,5.94,3012021,11481408,SHIPLEYS DO-NUTS       KATY          SD,5462,20
28226,01312021 15:18:40,4.18,2012021,8.80E+14,H-E-B #492             HOUSTON       PA,5411,20
37226,01202021 09:20:43,2.66,1222021,689124,MAVERIK #401           PRESCOTT VALL  NY,5541,20
19485,03152021 11:38:23,140.67,3162021,4.46E+11,SP * EMBER             8058705658    CA,5732,20
14829,03132021 06:17:13,4.79,3152021,EP86CJLWQYAQGJM,SP * FASHIONNOVA.COM   PANORAMA CITY TX,5691,20
31452,02212021 13:49:47,139.49,2222021,4.45E+12,WM SUPERCENTER #3510   PEARLAND      TN,5411,20
26607,01252021 19:09:51,52.36,1262021,6.94E+14,TRADER JOE'S #125  QPS NEWPORT BEACH MI,5411,20
36717,02202021 16:49:02,49.96,2222021,1053822,SOKOLS GREEK DELI & CA CHICAGO       IL,5812,20
33717,02192021 15:47:09,40.03,2212021,2.15E+11,CHESHIRE MARKET        GALENA         CA,5499,20
30881,04062021 10:24:48,9,4072021,3.41E+11,GREAT AMERICAN HERO    DALLAS        NJ,5814,20
15482,03062021 12:17:36,65.66,3082021,4.45E+12,TST* TREATY OAK DISTIL DRIPPING SPRI KS,5812,20
20759,02042021 11:06:27,12.78,2062021,469222,CENTRAL MARKET         DALLAS         NM,5411,20
26603,03122021 13:03:30,14.06,3152021,3.51E+11,UNA MAS MEX GRILL #004 SUNNYVALE     NY,5812,20
24029,04072021 15:34:39,10.95,4082021,4.45E+12,SMOOTHIE KING - 1343   AUBREY        CA,5814,20
31593,04062021 08:28:34,155,4072021,3.96E+11,PHR*NLUCPLLC           281-7838162   KS,8011,20
25770,03232021 18:16:07,17.92,3242021,4.45E+12,TST* THAI CHILI 2 GO - 480-719-4757  NJ,5812,20
30808,04042021 14:32:46,18.25,4062021,EFT,EFT                    Santa Fe       RI,6011,20
28064,04082021 16:48:04,1.85,4092021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,20
31094,01132021 10:56:56,16.43,1152021,4.45E+12,TST* SIPHON COFFEE     HOUSTON       NJ,5812,21
53111,03202021 04:27:58,5.52,3222021,3.22E+14,DUNKIN #332375 Q35     Hamilton        OH,5814,21
18393,12182020 12:02:16,12.17,12192020,4.45E+12,CKE*EL CHARRO MEXICA 3 HOUSTON       AK,5812,21
11111,03202021 04:27:58,5.52,3222021,3.22E+14,DUNKIN #332375 Q35     HOUSTON        TX,5814,21
37466,01162021 15:19:09,27.39,1182021,2.43E+14,SQ *JAVA LAVA BREW     HOUSTON       OH,5812,21
38829,01212021 07:18:07,6,1222021,2.43E+14,SQ *CANDIDO SERRANO    HOUSTON       OH,5814,21
43991,03202021 04:27:58,5.52,3222021,3.22E+14,DUNKIN #332375 Q35     BRIGHTON        MI,5814,21
25643,01122021 21:02:33,10,1132021,06584T21,WALGREENS STORE 8430 BRPEARLAND     ILUS,5912,21
32628,01302021 00:57:32,3.75,2012021,7562781,USCONNECT ACEVN VEND   TEMPE         CA,5814,21
18054,03022021 07:01:43,8.25,3032021,2.66E+11,KOLACHE FACTORY 104    KATY          SD,5814,21
28226,02162021 12:05:29,172.02,2202021,21651762000,BEST WESTERN PLUS GARD FREMONT       PA,3502,21
37226,01202021 10:28:49,5.05,1212021,9.03E+14,STARBUCKS STORE 19168  PRESCOTT      NY,5814,21
19485,03152021 12:08:47,129.9,3162021,2.43E+14,ZAP*ZAPPOS.COM         800-927-7671  CA,5661,21
14829,03142021 16:27:59,38.95,3162021,5.18E+14,JUNIORS RESTAURANT     BROOKLYN      TX,5812,21
31452,02212021 14:57:14,24.59,2222021,4.45E+12,FIVE BELOW 1128        PEARLAND      TN,5331,21
26607,01272021 09:34:44,61.11,1272021,3.72E+11,WWW.LUCKYSCENT.COM     3239318297    MI,5977,21
36717,02202021 17:33:22,25.82,2222021,9.88E+13,H-E-B #675             PEARLAND      IL,5411,21
33717,02202021 10:18:58,31.79,2222021,4.45E+12,JIMMY JOHNS - 1381     CRESCENT SPRI CA,5814,21
30881,04062021 11:58:15,10,4082021,5.26E+14,METRO EXPRESS CARWASH  DALLAS        NJ,7542,21
15482,03062021 15:09:41,31.12,3082021,2.43E+14,SQ *BIG MEX BBQ        Austin        KS,5814,21
20759,02052021 10:50:46,52.26,2072021,355152,7-ELEVEN 22788         DALLAS         NM,5542,21
26603,03132021 13:06:26,12.84,3152021,5.42E+14,MCDONALD'S F1008       SANTA CLARA   NY,5814,21
24029,04082021 10:33:17,8.54,4092021,7.77E+13,MCDONALD'S F22753      MCKINNEY      CA,5814,21
31593,04062021 08:29:31,75,4072021,3.96E+11,PHR*NLUCPLLC           281-7838162   KS,8011,21
25770,03232021 18:21:46,33.45,3242021,4.45E+12,TST* THAI CHILI 2 GO - 480-719-4757  NJ,5812,21
28064,04082021 18:35:31,10.89,4092021,3.00E+14,BUDDY'S BAR-B-Q 04     KNOXVILLE     NJ,5812,21
31094,01142021 06:15:25,12.89,1152021,9.93E+13,H-E-B GAS/CARWASH #6   PEARLAND      NJ,5542,22
53111,03182021 17:16:52,20.67,3192021,7.20E+14,SHOPRITE MONTGOMERY S1 Hamilton    OH,5411,22
18393,12182020 19:01:34,19.87,12192020,4.45E+12,CKE*EL CHARRO MEXICA 3 HOUSTON       AK,5812,22
37466,01172021 13:08:42,5.98,1182021,96553,SHELL SERVICE STATION  HOUSTON      OHUS,5541,22
11111,03182021 17:16:52,20.67,3192021,7.20E+14,SHOPRITE MONTGOMERY S1 HOUSTON    TX,5411,22
38829,01212021 07:18:50,3.71,1222021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       OH,5814,22
43991,03182021 17:16:52,20.67,3192021,7.20E+14,SHOPRITE MONTGOMERY S1 BRIGHTON    MI,5411,22
25643,01122021 21:09:05,6.45,1142021,57544987209,SHELL OIL 57544987209  PEARLAND      IL,5541,22
32628,02112021 12:12:40,10,2122021,5.27E+14,EWCRIVEROAKS HOU0017   Houston       CA,7298,22
18054,03022021 12:57:42,13,3032021,2.95E+13,BIRYANI POT            HOUSTON       SD,5812,22
28226,02172021 17:59:44,17.98,2182021,1VKWOGBF44BU45L,DOORDASH*TAQUERIA LIMO SAN FRANCISCO PA,5812,22
37226,01212021 07:41:39,2.58,1222021,1.47E+14,PANERA BREAD #601908 P SCOTTSDALE    NY,5814,22
19485,03192021 16:45:11,117.51,3222021,3.35E+11,HEB CENTRAL MARKET     800-987-4438  CA,5411,22
14829,03152021 09:10:41,40,3162021,2.43E+14,SQ *TRESSESBYJAI       gosq.com      TX,7230,22
31452,02222021 10:48:25,21.79,2242021,5032551995,BED BATH & BEYOND #51  WEBSTER       TN,5719,22
26607,01272021 10:10:26,4.75,1282021,8.00E+14,PEET'S #04403          NEWPORT BEACH MI,5814,22
36717,02212021 10:44:49,142.27,2222021,4.45E+12,BIG HORN BBQ - MANVEL  MANVEL        IL,5812,22
33717,02202021 12:49:42,15,2222021,1180769,KENTUCKY EXPOSITION CE Louisville    CA,7523,22
30881,04062021 12:30:10,19.46,4072021,1.75E+14,LOWES #02280*          DALLAS        NJ,5200,22
15482,03062021 16:16:02,8.58,3082021,4.45E+12,TST* OASIS TEXAS BREWI AUSTIN        KS,5812,22
20759,02052021 12:21:48,57.35,2082021,2.66E+11,AL BIERNAT'S NORTH     DALLAS        NM,5812,22
26603,03132021 17:14:36,2.76,3152021,3.33E+14,CHEVRON 0203722        LOS GATOS     NY,5541,22
24029,04082021 12:35:22,7.8,4092021,4.45E+12,CAR WASH ZONE - MCKINN MCKINNEY      CA,7542,22
31593,04062021 18:35:03,162.29,4072021,3.72E+11,CHEESECAKE THE WOODLAN THE WOODLANDS KS,5812,22
25770,03242021 15:44:42,113.71,3252021,7.20E+13,CHARLESTON S 60        MESA          NJ,5812,22
28064,04092021 11:59:36,1.45,4102021,3.90E+11,USA*FIVE STAR FOOD VEN KNOXVILLE     NJ,5814,22
31094,01142021 13:38:02,10.77,1152021,7.20E+14,SWEETGREEN MONTROSE    HOUSTON       NJ,5814,23
53111,03072021 13:01:17,375.5,3082021,7.20E+14,SHOPRITE MONTGOMERY S1 Hamilton    OH,5411,23
18393,12282020 20:55:35,20.28,12302020,241409,WAL-MART #1409         HOUSTON        AK,5310,23
37466,01172021 20:24:46,34.78,1192021,2737425389,PIOLA RESTAURANT       HOUSTON       OH,5812,23
11111,03072021 13:01:17,44.5,3082021,7.20E+14,SHOPRITE MONTGOMERY S1 HOUSTON    TX,5411,23
38829,01212021 12:28:59,14,1232021,21668538000,LA TAPATIA MEXICAN CAF HOUSTON       OH,5812,23
43991,03072021 13:01:17,375.5,3082021,7.20E+14,SHOPRITE MONTGOMERY S1 BRIGHTON    MI,5411,23
25643,01122021 22:21:39,16.22,1132021,5.73E+14,NORTON *NP268867398    NORTON.COM/NS IL,5734,23
32628,02132021 11:55:55,39.95,2152021,4.46E+11,WWW.COURSEHERO.COM     8886349397    CA,5968,23
18054,03042021 05:31:38,120,3052021,0NSOKNTQHYRCQR0,STRAWBRIDGE            DURHAM        SD,8299,23
28226,02222021 19:06:57,20,2232021,0NSOKNTQHYRCQR0,STRAWBRIDGE            DURHAM        PA,8299,23
37226,01212021 09:32:50,1.09,1212021,09731821224MDF,MCDONALD'S F21224      PHOENIX       NY,5814,23
19485,04012021 08:23:35,2.88,4032021,5.27E+14,STEAMGAMES.COM 4259522 Bellevue      CA,5816,23
14829,03152021 11:32:26,12,3162021,1.88E+14,SQ *LEVAIN BAKERY      New York      TX,5999,23
31452,02222021 12:25:45,98.15,2232021,48201062998,WAL-MART #1062         FRIENDSWOOD   TN,5411,23
26607,01272021 13:57:48,28.86,1292021,21582572000,BOSSCAT KITCHEN & LIBA NEWPORT BEACH MI,5812,23
36717,02212021 10:54:44,15.48,2222021,7.31E+14,CHEVRON 0380385        MANVEL        IL,5541,23
33717,02202021 16:53:07,55.09,2222021,91122879,KROGER #7 3165 S. SECO LOUISVILLE     CA,5411,23
30881,04062021 12:40:29,4.32,4072021,2.39E+13,O'REILLY AUTO PARTS 55 DALLAS        NJ,5533,23
15482,03072021 12:06:05,27.29,3082021,2.95E+14,EXXONMOBIL    48129050 AUSTIN        KS,5542,23
20759,02242021 17:23:45,77.37,2262021,21652460000,CAFE PACIFIC           DALLAS        NM,5812,23
26603,03142021 13:19:16,15.79,3162021,4.45E+12,WINGSTOP 0628          SANTA CLARA   NY,5814,23
31593,04072021 04:57:06,6.05,4082021,4.45E+12,WENDY'S 79             HOUSTON       KS,5814,23
25770,03242021 20:31:57,129.39,3252021,7.20E+13,CHARLESTON S 60        MESA          NJ,5812,23
31094,01142021 14:05:13,4.19,1162021,8.50E+11,EMPIRE CAFE            HOUSTON       NJ,5812,24
53111,04052021 01:26:36,351.05,4052021,9.74E+14,VZWRLSS*APOCC VISE     800-922-0204  OH,4814,24
18393,12292020 10:08:35,46.79,12302020,2.19E+14,IN *DIRECT HOME CARE S 713-4616770   AK,5999,24
11111,04052021 01:26:36,351.05,4052021,9.74E+14,VZWRLSS*APOCC VISE     800-922-0204  TX,4814,24
37466,01182021 15:24:22,3.83,1202021,8031712642,MERCHANT               HOUSTON       OH,5499,24
38829,01212021 17:40:51,25.91,1232021,4.45E+11,GRUBHUBRUSSOS          8775851085    OH,5812,24
43991,04052021 01:26:36,351.05,4052021,9.74E+14,VZWRLSS*APOCC VISE     800-922-0204  MI,4814,24
25643,01132021 15:09:25,7.18,1152021,4.45E+12,TST* FRENCHY S - 4646  CHICAGO       IL,5812,24
32628,02162021 02:21:09,215.02,2162021,4.08E+14,GREEN MOUNTAIN ENERGY  866-785-4668  CA,4900,24
18054,03042021 05:52:17,132.51,3052021,2.22E+14,TNG UTILITY CORP       866-959-3100  SD,4900,24
28226,02222021 23:33:56,0.04,2232021,8034814965,CA DMV FEE             678-7315516   PA,9399,24
37226,01212021 12:14:03,4.45,1232021,1450197,FRYS-FOOD 7628 INDIAN  SCOTTSDALE     NY,5411,24
19485,04012021 22:23:15,162.51,4052021,3.35E+11,HEB CENTRAL MARKET     800-987-4438  CA,5411,24
14829,03192021 15:00:31,295.27,3202021,2.43E+14,SQ *SUSHI BY M         New York      TX,5812,24
31452,02222021 19:14:13,14.06,2232021,3.35E+11,CHILI'S NASA           WEBSTER       TN,5812,24
26607,02012021 17:27:25,10.39,2032021,4.21E+11,SKY MART SUBCORE B     DENVER        MI,5999,24
36717,02212021 11:00:43,9.02,2222021,7.31E+14,CHEVRON 0380385        MANVEL        IL,5542,24
33717,02202021 20:11:45,143.72,2222021,10022450,SARINO RESTAURANT      LOUISVILLE    CA,5812,24
30881,04082021 10:04:30,11.9,4092021,4.45E+12,TST* SABAIDEE LEMMON   DALLAS        NJ,5812,24
15482,03122021 20:17:39,169.98,3132021,4.45E+12,TST* GOURDOUGH S PUBLI AUSTIN        KS,5812,24
20759,02242021 17:45:36,53.26,2262021,4.45E+12,TST* REX S SEAFOOD AND DALLAS        NM,5812,24
26603,03152021 12:15:18,13.55,3162021,7.20E+14,TOGO'S LAWRENCE EXPY   SUNNYVALE     NY,5814,24
31593,04072021 11:10:50,22.28,4092021,5.66E+14,CHICK-FIL-A #02826     HOUSTON       KS,5814,24
25770,03252021 11:17:03,23.31,3272021,4.56E+11,BURGER KING #7043  Q07 PHOENIX       NJ,5814,24
31094,01152021 08:57:46,16.05,1182021,8.50E+11,EMPIRE CAFE            HOUSTON       NJ,5812,25
53111,12302020 14:27:05,42.51,1012021,90282822,KROGER #2 4000 POLK    Hamilton        OH,5411,25
37466,01182021 16:36:22,17.51,1192021,8.80E+14,CENTRAL MARKET #491    HOUSTON       OH,5411,25
11111,01172021 18:23:48,69.99,1182021,5.43E+14,JUAN JAIME S TACOS & T TAMPA    FL,5812,25
38829,01222021 07:20:20,6,1232021,2.43E+14,SQ *CANDIDO SERRANO    Houston       OH,5814,25
43991,12302020 14:27:05,42.51,1012021,90282822,KROGER #2 4000 POLK    BRIGHTON        MI,5411,25
25643,01152021 14:34:03,8.11,1182021,5.64E+14,CHICK-FIL-A #01801     CHICAGO       IL,5814,25
32628,02182021 09:53:45,86.56,2202021,2.23E+14,OAKMONT PUBLIC UTILITY 281-3539809   CA,4900,25
18054,03042021 06:07:04,20,3052021,8.44E+11,TXTAG 888 468 9824     8884689824    SD,9399,25
28226,02222021 23:33:57,2,2232021,8015291431,STATE OF CALIF DMV INT 800-7770133   PA,9399,25
37226,01212021 12:35:21,5.26,1232021,1450197,FRYS-FOOD 7628 INDIAN  SCOTTSDALE     NY,5411,25
19485,04042021 07:27:55,37.69,4052021,687020,SHELL SERVICE STATION  HOUSTON      CAUS,5542,25
14829,03252021 14:21:12,24.99,3262021,1VKWOGBF44BU45L,DOORDASH*OAXACA TAQUER SAN FRANCISCO TX,5812,25
31452,02252021 19:57:10,29.93,2262021,8.00E+14,BJS RESTAURANTS 481    PEARLAND      TN,5812,25
26607,02112021 18:10:00,60.42,2122021,6.94E+14,TRADER JOE'S #105  QPS ESCONDIDO     MI,5411,25
36717,02212021 13:55:00,140.81,2222021,48203510994,WAL-MART #3510         PEARLAND      IL,5411,25
33717,02232021 05:09:18,1.9,2242021,3.00E+14,TIM HORTONS #916580    GALION        CA,5814,25
15482,03192021 10:39:20,22.72,3202021,2.43E+14,SQ *SUMMER MOON COFFEE Austin        KS,5499,25
20759,02262021 10:47:59,39.84,2272021,4.69E+14,CENTRAL MARKET #747    DALLAS        NM,5411,25
26603,03152021 19:53:47,7.17,3162021,5.42E+14,MCDONALD'S F1008       SANTA CLARA   NY,5814,25
31593,04082021 04:52:59,5.17,4092021,4.45E+12,WENDY'S 79             HOUSTON       KS,5814,25
25770,03252021 16:28:47,103.97,3272021,7.20E+13,CHARLESTON S 60        MESA          NJ,5812,25
31094,01152021 12:06:16,13.85,1162021,7.20E+14,ZOES KITCHEN           HOUSTON       NJ,5812,26
53111,02042021 13:20:19,276.52,2052021,4.45E+12,COSMO BLEU             Hamilton     OH,7230,26
37466,01182021 16:56:13,13.17,1192021,8.80E+14,CENTRAL MARKET #491    HOUSTON       OH,5411,26
11111,02042021 13:20:19,276.52,2052021,4.45E+12,COSMO BLEU             HOUSTON     TX,7230,26
38829,01222021 12:48:30,17,1252021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       OH,5812,26
43991,02042021 13:20:19,276.52,2052021,4.45E+12,COSMO BLEU             BRIGHTON     MI,7230,26
25643,01162021 11:14:40,10.38,1172021,07534T51,WALGREENS STORE 6122 BRPEARLAND     ILUS,5912,26
32628,02192021 17:42:32,7.57,2202021,3.96E+11,DISNEYPLUS             888-9057888   CA,5815,26
18054,03042021 10:50:04,90.93,3062021,5.18E+14,Bulwark Exterminati    8774285927    SD,7342,26
28226,02242021 16:56:07,12.98,2252021,2.35E+14,AMZN Mktp US*JL7066NS3 Amzn.com/bill PA,5942,26
37226,01222021 08:07:28,5.29,1232021,7.20E+14,WILDFLOWER 014 SEVILLE SCOTTSDALE    NY,5812,26
14829,03252021 14:22:33,10.2,3262021,1VKWOGBF44BU45L,DOORDASH*7-ELEVEN      SAN FRANCISCO TX,5812,26
31452,02282021 18:21:07,28.78,3022021,57543433205,SHELL OIL 57543433205  SUGAR LAND    TN,5542,26
